    1.628828     1.939572    -0.197644    -2.483595    -0.825629    -0.933204    -0.443324    -3.688985     0.850500    -0.750280    -1.664488     0.533726      1
    2.137108     2.475526     0.286670    -2.289519     1.093864     0.852648     2.127548    -0.939265     2.992994    -0.056205    -1.695835     1.049933      1
    1.531198     1.221898     0.046574    -1.078349     0.867138     1.513976     1.091154    -0.113160     1.874825     0.245343    -0.374472     1.905666      1
    1.442283     2.973521     0.931710    -1.363399    -1.587387     0.973959     1.925259    -2.318956     1.656678     1.394670    -1.318131     1.438954      1
    4.452058     1.984878     0.954621    -2.259373     2.164700     2.450662     1.367712     1.198290     1.728633    -0.770830    -0.470573     3.437454      1
    1.314382     3.345747     1.543818    -0.793218     0.649100     0.874278     2.164960    -0.356667     3.235159     1.917199    -0.082715     2.837181      1
   -0.237539     3.722781    -1.005387    -1.346200    -1.535438    -1.530582    -0.971546    -0.448466    -0.735541    -1.233252    -3.194830     1.211580      1
    1.584967     3.818712     0.820225    -2.097545     2.417449     1.624670     2.378070    -1.580641     4.868171     1.822380    -0.062654     3.491037      1
    0.879663     1.631391     0.448902    -0.719557    -0.932165     0.275668     0.833544     1.187474     2.914500     0.140268    -0.947037     3.782114      1
   -0.921912     0.054277    -0.638047    -2.912436     0.075770    -0.702770     1.082572    -3.449693     1.743648     0.355611    -1.631229     0.074554      1
    0.235614    -2.613172    -0.943079     0.431207    -0.281734     0.417584     0.762270     3.561102    -0.273843    -0.442991    -2.151993    -0.053380      2
   -0.589903    -1.355308    -1.100280    -0.477367     1.357707    -1.376555     1.049179     0.522244    -1.743203    -1.668166    -1.610373     0.074376      2
    0.213303     0.255335    -0.066453    -0.335556     1.831136    -0.607993     0.609162     3.110321     0.512161     1.685719     0.081164     0.005336      2
   -1.257492    -3.406981    -3.133168    -1.948519    -0.470581     1.666276     2.189350     1.186767    -1.846504     1.294794    -2.232741    -0.216125      2
